bugis,indonesia
bola,rumah
uwae,air
api,api
bosi,hujan
esso,hari / matahari
wenni,malam
manre,makan
minung,minum
matinro,tidur
lao,pergi
tudang,duduk
tettong,berdiri
joppa,berjalan
lari,berlari
cemme,mandi
majjama,bekerja
makkelong,menyanyi
mabbicara,berbicara
makkita,melihat
marengkalinga,mendengar
melli,membeli
mabbalu,menjual
mattama,masuk
massu,keluar
menre,naik
nonno,turun
pole,datang
lisu,pulang
lettu,sampai / tiba
engka,ada
monro,tinggal / berdiam
taro,menyimpan
mala,mengambil
mabbere,memberi
tarima,menerima
misseng,mengetahui
melo,mau / ingin
pura,sudah / selesai
mammula,memulai
paja,berhenti
